name,name_zh,name_en,type,programs,programs_en,country,country_en,listed_on,remarks,local_name,aliases,address,registration_number,website
Moscow Communications Research Institute JSC,,Moscow Communications Research Institute JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Московский Научно-Исследовательский Институт Связи» (АО «МНИИС»)；A.k.a: MNIIS JSC ｜ Address(es): 117534, Moscow, Kirovogradsky Proezd, 3, Building 2, Russian Federation; 121170, Moscow Kutuzovsky Prospekt, 34, Russian Federation Telephone: + 7 (499) 249 40 88 Webs",Акционерное Общество «Московский Научно-Исследовательский Институт Связи» (АО «МНИИС»),MNIIS JSC,"117534, Moscow, Kirovogradsky Proezd, 3, Building 2, Russian Federation; 121170, Moscow Kutuzovsky Prospekt, 34, Russian Federation",,
Moscow Order of the Red Banner of Labor Research Radio Engineering Institute JSC,,Moscow Order of the Red Banner of Labor Research Radio Engineering Institute JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Московский Ордена Трудового Красного Знамени Научно-Исследовательский Радиотехнический Институт» (АО «МНИРТИ»)；A.k.a: MNIRTI JSC. ｜ Address(es): 103028, Moscow, Bolshoi Trekhsvyatitelsky Pereulok, 2/1, Russian Federation Telephone: + 7 (495) 626-23-44 Website: https",Акционерное Общество «Московский Ордена Трудового Красного Знамени Научно-Исследовательский Радиотехнический Институт» (АО «МНИРТИ»),MNIRTI JSC,"103028, Moscow, Bolshoi Trekhsvyatitelsky Pereulok, 2/1, Russian Federation",,
Joint Stock Company NPO Elektromechaniki,,Joint Stock Company NPO Elektromechaniki,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Объединение Электромеханики» (АО «НПО Электромеханики»)；A.k.a: NPO Elektromechaniki JSC; Scientific and Production Association ""Electromechanics"" JSC ｜ Address(es): 45630, Chelyabinsk Oblast, Miass, Mendeleeva Str., 31, Russian Federation Tel",Акционерное Общество «Научно-Производственное Объединение Электромеханики» (АО «НПО Электромеханики»),"NPO Elektromechaniki JSC; Scientific and Production Association ""Electromechanics"" JSC","45630, Chelyabinsk Oblast, Miass, Mendeleeva Str., 31, Russian Federation Tel",,
Omsk Production Union Irtysh JSC,,Omsk Production Union Irtysh JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Омское Производственное Объединение «Иртыш» (АО «ОмПО «Иртыш»)；A.k.a: OmPO Irtysh ｜ Address(es): 644060, Omsk Oblast, Omsk, Gurteva Str., 18, Russian Federation; Telephone: + 7 (3812) 44-87-05 Website: https://irtysh.ru/ Email: irtysh@irtysh.com.ru",Акционерное Общество «Омское Производственное Объединение «Иртыш» (АО «ОмПО «Иртыш»),OmPO Irtysh,"644060, Omsk Oblast, Omsk, Gurteva Str., 18, Russian Federation",,https://irtysh.ru/
Omsk Scientific-Research Institute of Instrument Engineering JSC,,Omsk Scientific-Research Institute of Instrument Engineering JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное общество «Омский Научно-Исследовательский Институт Приборостроения» (АО «ОНИИП»)；A.k.a: JSC Omsk Research Institute of Instrument Engineering; AO ONIIP ｜ Address(es): 644071, Omsk Oblast, Omsk, Maslennikova Str., 231, Russian Federation Telephone: + 7 (3812) 44-85-45 Website:",Акционерное общество «Омский Научно-Исследовательский Институт Приборостроения» (АО «ОНИИП»),JSC Omsk Research Institute of Instrument Engineering; AO ONIIP,"644071, Omsk Oblast, Omsk, Maslennikova Str., 231, Russian Federation",,
"Optron, JSC",,"Optron, JSC",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное общество «Оптрон» (АО «Оптрон») ｜ Address(es): 105318, Moscow, Shcherbakovskaya Str., 53, Russian Federation Telephone: + 8 (495) 366-22-66 Website: https://www.optron.ru/ Email: main@optron.ru Registration number:",Акционерное общество «Оптрон» (АО «Оптрон»),,"105318, Moscow, Shcherbakovskaya Str., 53, Russian Federation",,https://www.optron.ru/
Pella Shipyard OJSC,,Pella Shipyard OJSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное общество «Ленинградский Судостроительный Завод «Пелла» (АО «Пелла»)；A.k.a: JSC Leningrad Shipyard Pella; AO ""Leningradsky Sudostroitelny Zavod ""Pella""; AO ""Pella"" ｜ Address(es): 187330, Leningrad Oblast, Kirovsky District, Otradnoe, Tsentralnaya Str., 4, Russian Federation Te",Акционерное общество «Ленинградский Судостроительный Завод «Пелла» (АО «Пелла»),"JSC Leningrad Shipyard Pella; AO ""Leningradsky Sudostroitelny Zavod ""Pella""; AO ""Pella""","187330, Leningrad Oblast, Kirovsky District, Otradnoe, Tsentralnaya Str., 4, Russian Federation Te",,
Polyot Chelyabinsk Radio Plant JSC,,Polyot Chelyabinsk Radio Plant JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Челябинский Радиозавод «Полёт» (АО «ЧРЗ «Полет»)；A.k.a: AO ""ChRZ ""Polyot""; Chelyabinsk Radio Plant Polet; ChRP ""Polet"" ｜ Address(es): 454080, Chelyabinsk Oblast, Chelyabinsk, Terponolskaya Str., 6, Russian Federation Telephone: + 7 (351) 267-02-20 Website: https://w",Акционерное Общество «Челябинский Радиозавод «Полёт» (АО «ЧРЗ «Полет»),"AO ""ChRZ ""Polyot""; Chelyabinsk Radio Plant Polet; ChRP ""Polet""","454080, Chelyabinsk Oblast, Chelyabinsk, Terponolskaya Str., 6, Russian Federation",,
Pskov Distance Communications Equipment Plant,,Pskov Distance Communications Equipment Plant,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Псковский Завод Аппаратуры Дальней Связи» (АО «Псковский Завод АДС»)；A.k.a: Pskov Plant ADS JSC; Pskov Distance Communications Equipment (ADS) ｜ Address(es): 180004, Pskov Oblast, Pskov, Gagarina Str., 4, Russian Federation Telephone: + 8 (8112) 79-41-12; + 8 (8112)",Акционерное Общество «Псковский Завод Аппаратуры Дальней Связи» (АО «Псковский Завод АДС»),Pskov Plant ADS JSC; Pskov Distance Communications Equipment (ADS),"180004, Pskov Oblast, Pskov, Gagarina Str., 4, Russian Federation",,
"Radiozavod, JSC",,"Radiozavod, JSC",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Радиозавод» (АО «Радиозавод») ｜ Address(es): 440039, Penza Oblast, Penza, Baydukova Str., 1, Russian Federation Telephone: + 7 (8412) 92-80-96 Website: https://www.penza-radiozavod.ru/ Email: radio@rf58.ru Regist",Акционерное Общество «Радиозавод» (АО «Радиозавод»),,"440039, Penza Oblast, Penza, Baydukova Str., 1, Russian Federation",,https://www.penza-radiozavod.ru/
Razryad JSC,,Razryad JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Разряд» (АО «Разряд»)；A.k.a: Zavod Razryad ｜ Address(es): 362031, Republic of North Ossetia – Alania, Vladikavkaz, Kosta Prospekt, 233, Russian Federation Telephone: + 8 (8672) 51-52-94; + 8 (8672) 51-61-82; + 8 (8672) 51-81-",Акционерное Общество «Разряд» (АО «Разряд»),Zavod Razryad,"362031, Republic of North Ossetia – Alania, Vladikavkaz, Kosta Prospekt, 233, Russian Federation",,
Research Production Association Mars,,Research Production Association Mars,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Федеральный Научно-Производственный Центр Акционерное Общество «Научно-Производственное Объединение «Марс» (ФНПЦ АО «НПО «Марс»)；A.k.a: RPA Mars; NPO Mars; Federal Research and Development Center JSC Scientific Production Association ""Mars""; FNPTs AO ""NPO ""MARS"" ｜ Address(es): 432022, Ul",Федеральный Научно-Производственный Центр Акционерное Общество «Научно-Производственное Объединение «Марс» (ФНПЦ АО «НПО «Марс»),"RPA Mars; NPO Mars; Federal Research and Development Center JSC Scientific Production Association ""Mars""; FNPTs AO ""NPO ""MARS""","432022, Ul",,
Ryazan Radio-Plant,,Ryazan Radio-Plant,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Рязанский Радиозавод» (АО «Рязанский Радиозавод») ｜ Address(es): 390023, Ryazan Oblast, Ryazan Lermontova Str., 11, Russian Federation Telephone: + 7 (4912) 29-27-33; + 7 (4912) 29-29-30 Website: https://radiozavod.ru/ Email: mail@r",Акционерное Общество «Рязанский Радиозавод» (АО «Рязанский Радиозавод»),,"390023, Ryazan Oblast, Ryazan Lermontova Str., 11, Russian Federation",,https://radiozavod.ru/
Scientific Production Center Vigstar JSC,,Scientific Production Center Vigstar JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственный Центр «Вигстар» (АО «НПЦ «Вигстар»)；A.k.a: AO Nauchno-Proizvodstvennyy Tsentr Vigstar; JSC SRC Vigstar; AO NPTs Vigstar ｜ Address(es): 117545, Moscow, 1st Dorozhny Proezd, 8, Russian Federation Telephone: + 7 (495) 276 5201; + 7 (495) 276 520",Акционерное Общество «Научно-Производственный Центр «Вигстар» (АО «НПЦ «Вигстар»),AO Nauchno-Proizvodstvennyy Tsentr Vigstar; JSC SRC Vigstar; AO NPTs Vigstar,"117545, Moscow, 1st Dorozhny Proezd, 8, Russian Federation",,
"Scientific Production Enterprise ""Radiosviaz""",,"Scientific Production Enterprise ""Radiosviaz""",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Радиосвязь» (АО «НПП «Радиосвязь»)；A.k.a: AO NPP Radiosvyaz; Joint Stock Company ""Research and Production Enterprise ""Radiosvyaz"" ｜ Address(es): 660021, Krasnoyarsk Krai, Krasnoyarsk, Dekabristov Str., 19, Russian Federation Tele",Акционерное Общество «Научно-Производственное Предприятие «Радиосвязь» (АО «НПП «Радиосвязь»),"AO NPP Radiosvyaz; Joint Stock Company ""Research and Production Enterprise ""Radiosvyaz""","660021, Krasnoyarsk Krai, Krasnoyarsk, Dekabristov Str., 19, Russian Federation Tele",,
Scientific Research Institute Ferrite-Domen,,Scientific Research Institute Ferrite-Domen,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Исследовательский Институт «Феррит-Домен» (АО «НИИ «Феррит-Домен»)；A.k.a: AO NII Ferrit-Domen ｜ Address(es): 196006, St. Petersburg, Zvetochnaya Str., 25, Building 3, Letter B, Room 417, Russian Federation Telephone: + 7 (812) 676-28-83 Website: https://www.d",Акционерное Общество «Научно-Исследовательский Институт «Феррит-Домен» (АО «НИИ «Феррит-Домен»),AO NII Ferrit-Domen,"196006, St. Petersburg, Zvetochnaya Str., 25, Building 3, Letter B, Room 417, Russian Federation",,
Scientific Research Institute of Communication Management Systems,,Scientific Research Institute of Communication Management Systems,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Исследовательский Институт Систем Связи и Управления» (АО «НИИСУ»)；A.k.a: AO NIISU; Joint Stock Company ""Research and Development Institute of Communication and Management Systems"" ｜ Address(es): 117630, Moscow, Starokaluzhkoe Shosse, 58, Russian Federation T",Акционерное Общество «Научно-Исследовательский Институт Систем Связи и Управления» (АО «НИИСУ»),"AO NIISU; Joint Stock Company ""Research and Development Institute of Communication and Management Systems""","117630, Moscow, Starokaluzhkoe Shosse, 58, Russian Federation T",,
Scientific-Production Association and Scientific-Research Institute of Radio-Components,,Scientific-Production Association and Scientific-Research Institute of Radio-Components,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Общество с Ограниченной Ответственностью «Научно-Производственное Объединение НИИРК» (ООО «НПО НИИРК»)；A.k.a: NIIRK; Limited Liability Company ""Research and Production Association NIIRK""; OOO NPO NIIRK ｜ Address(es): 119049, Moscow, Krymsky Val Str., 3, Building 1, Office 1, Russian Fede",Общество с Ограниченной Ответственностью «Научно-Производственное Объединение НИИРК» (ООО «НПО НИИРК»),"NIIRK; Limited Liability Company ""Research and Production Association NIIRK""; OOO NPO NIIRK","119049, Moscow, Krymsky Val Str., 3, Building 1, Office 1, Russian Fede",,
"Scientific-Production Enterprise ""Kant""",,"Scientific-Production Enterprise ""Kant""",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Кант» (АО «НПП «Кант»)；A.k.a: AO NPP Kant; Joint Stock Company ""Research and Production Enterprise ""Kant"" ｜ Address(es): 109316, Moscow, Talalikhina Str., 12, Building 7, Russian Federation; 129626, Moscow, 3rd Mytishchinskaya St",Акционерное Общество «Научно-Производственное Предприятие «Кант» (АО «НПП «Кант»),"AO NPP Kant; Joint Stock Company ""Research and Production Enterprise ""Kant""","109316, Moscow, Talalikhina Str., 12, Building 7, Russian Federation; 129626, Moscow, 3rd Mytishchinskaya St",,
"Scientific-Production Enterprise ""Svyaz""",,"Scientific-Production Enterprise ""Svyaz""",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Связь» (АО «НПП «Связь»)；A.k.a: AO NPP Svyaz; Joint Stock Company ""Research and Production Enterprise ""Svyaz"" ｜ Address(es): 301214, Tula Oblast, Shekinsky District, Yasnaya Polyana Village, Shkolnaya Str., 19, Russian Federation",Акционерное Общество «Научно-Производственное Предприятие «Связь» (АО «НПП «Связь»),"AO NPP Svyaz; Joint Stock Company ""Research and Production Enterprise ""Svyaz""","301214, Tula Oblast, Shekinsky District, Yasnaya Polyana Village, Shkolnaya Str., 19, Russian Federation",,
Scientific-Production Enterprise Almaz JSC,,Scientific-Production Enterprise Almaz JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Алмаз» (АО «НПП «Алмаз»)；A.k.a: AO NPP Almaz; Joint Stock Company ""Research and Production Enterprise ""Almaz""; Almaz Research and Production Enterprise; RPE Almaz ｜ Address(es): 410033, Saratov Oblast, Saratov, Panfilov I.V. Str.",Акционерное Общество «Научно-Производственное Предприятие «Алмаз» (АО «НПП «Алмаз»),"AO NPP Almaz; Joint Stock Company ""Research and Production Enterprise ""Almaz""; Almaz Research and Production Enterprise; RPE Almaz","410033, Saratov Oblast, Saratov, Panfilov I.V. Str",,
Scientific-Production Enterprise Salyut JSC,,Scientific-Production Enterprise Salyut JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Салют» (АО «НПП «Салют»)；A.k.a: AO NPP Salyut; Joint Stock Company ""Research and Production Enterprise ""Salute"" ｜ Address(es): 603107, Nizhny Novgorod Oblast, Nizhny Novgorod, Larina Str., 7, Building 4, Office 4264, Russian Fede",Акционерное Общество «Научно-Производственное Предприятие «Салют» (АО «НПП «Салют»),"AO NPP Salyut; Joint Stock Company ""Research and Production Enterprise ""Salute""","603107, Nizhny Novgorod Oblast, Nizhny Novgorod, Larina Str., 7, Building 4, Office 4264, Russian Fede",,
Scientific-Production Enterprise Volna,,Scientific-Production Enterprise Volna,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Волна» (АО «НПП «Волна»)；A.k.a: AO NPP Volna; Joint Stock Company ""Research and Production Enterprise ""Wave"" ｜ Address(es): 117105, Moscow, Varshavskoe Shosse, 26, Russian Federation Telephone: + 8 (499) 611-31-00; + 8 (499) 782 ",Акционерное Общество «Научно-Производственное Предприятие «Волна» (АО «НПП «Волна»),"AO NPP Volna; Joint Stock Company ""Research and Production Enterprise ""Wave""","117105, Moscow, Varshavskoe Shosse, 26, Russian Federation",,
Scientific-Production Enterprise Vostok JSC,,Scientific-Production Enterprise Vostok JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-06-03,"Local name: Акционерное Общество «Научно-Производственное Предприятие «Восток» (АО «НПП «Восток»)；A.k.a: AO NPP Vostok; Joint Stock Company ""Research and Production Enterprise ""Wave"" ｜ Address(es): 630049, Novosibirsk Oblast, Novosibirsk, Dusi Kovalchuk Str. 276, Russian Federation Telephone: + 7 (3",Акционерное Общество «Научно-Производственное Предприятие «Восток» (АО «НПП «Восток»),"AO NPP Vostok; Joint Stock Company ""Research and Production Enterprise ""Wave""","630049, Novosibirsk Oblast, Novosibirsk, Dusi Kovalchuk Str. 276, Russian Federation",,
